Title,Year,Rating10,WatchedDate,Review
Mulholland Drive,2001,8,2023-08-13,тестоывый отзыв 2
Revolver,2005,8,2022-06-30,
Batman Begins,2005,,2023-08-13,
Buffalo '66,1998,8,2022-07-14,
The Terminal,2004,7,2022-08-06,
Before Midnight,2013,8,2022-08-08,
Before Sunrise,1995,8,2022-08-08,
Before Sunset,2004,7,2022-08-08,
Coffee and Cigarettes,2003,7,2022-09-03,
Tokyo Story,1953,6,2022-08-28,
Brother,1997,8,2021-08-16,
Dead Man's Bluff,2005,7,2021-08-16,
Brother 2,2000,7,2021-08-16,
Cargo 200,2007,7,2021-08-16,
Bimmer,2003,8,2021-08-16,
Stalker,1979,9,2021-08-16,
Courier,1986,7,2021-08-16,
Django Unchained,2012,7,2021-08-16,
Alien,1979,8,2021-08-16,
The Hateful Eight,2015,8,2021-08-16,
Pulp Fiction,1994,8,2021-08-16,
Kill Bill: The Whole Bloody Affair,2011,8,2021-08-16,
Inglourious Basterds,2009,7,2021-08-16,
Snatch,2000,9,2021-08-16,
"Lock, Stock and Two Smoking Barrels",1998,9,2021-08-16,
The Big Lebowski,1998,9,2021-08-16,
Shutter Island,2010,9,2021-08-16,
Schindler's List,1993,9,2021-08-16,
The Silence of the Lambs,1991,8,2021-08-16,
American Psycho,2000,9,2021-08-16,
Memento,2000,9,2021-08-16,
American History X,1998,9,2021-08-16,
The Godfather,1972,9,2021-08-16,
Life Is Beautiful,1997,9,2021-08-16,
Seven Samurai,1954,8,2021-08-16,
2001: A Space Odyssey,1968,10,2021-08-16,
Léon: The Professional,1994,8,2021-08-16,
Forrest Gump,1994,8,2021-08-16,
Blade Runner,1982,10,2021-08-16,
Blade Runner 2049,2017,8,2021-08-16,
Interstellar,2014,9,2021-08-16,
No Country for Old Men,2007,8,2021-08-16,
Drive,2011,9,2021-08-16,
The Place Beyond the Pines,2013,8,2021-08-16,
Oldboy,2003,8,2021-08-16,
Fear and Loathing in Las Vegas,1998,8,2021-08-16,
The Dark Knight,2008,8,2021-08-16,
The Dark Knight Rises,2012,8,2021-08-16,
The Matrix,1999,7,2021-08-16,
The Terminator,1984,8,2021-08-16,
The Shining,1980,8,2021-08-17,
Requiem for a Dream,2000,7,2021-08-18,
The Usual Suspects,1995,6,2021-08-18,
Primal Fear,1996,7,2021-08-18,
Fargo,1996,8,2021-08-18,
Shot Caller,2017,7,2021-09-06,
The Godfather Part II,1974,7,2021-10-16,
The Shawshank Redemption,1994,8,2021-10-16,
Ex Machina,2015,7,2021-10-16,
Fight Club,1999,8,2021-10-16,
Parasite,2019,7,2021-10-16,
Amélie,2001,8,2021-10-16,
V for Vendetta,2006,7,2021-10-16,
La Haine,1995,9,2021-10-16,
Akira,1988,8,2021-10-18,
Neon Genesis Evangelion: The End of Evangelion,1997,9,2021-10-18,
Ghost in the Shell,1995,10,2021-10-18,
Perfect Blue,1998,9,2021-10-18,
"Night Is Short, Walk On Girl",2017,7,2021-10-18,
5 Centimeters per Second,2007,9,2021-10-18,
Perfume: The Story of a Murderer,2006,8,2021-10-19,
Taxi Driver,1976,9,2021-10-19,
The Assassination of Jesse James by the Coward Robert Ford,2007,7,2021-10-20,
Se7en,1995,8,2021-10-20,
Reservoir Dogs,1991,7,2021-10-20,
The Breakfast Club,1985,7,2021-10-20,
Yes Man,2008,7,2021-10-21,
